大   大,"大   大     large   ダイ、タイ、おお、おお-きい、おお-いに dai, tai, oo, oo-kii, oo-ini    Strokes: 3"
男   田,"男   田     male   ダン、ナン、おとこ dan, nan, otoko    Strokes: 7"
竹   竹,"竹   竹     bamboo   チク、たけ chiku, take    Strokes: 6"
中   丨,"中   丨     middle   チュウ、（ジュウ）、なか chū, (jū), naka    Strokes: 4"
虫   虫,"虫   虫     insect   チュウ、むし chū, mushi    Strokes: 6"
町   田,"町   田     town   チョウ、まち chō, machi    Strokes: 7"
天   大,"天   大     heaven   テン、あめ、（あま） ten, ame, (ama)    Strokes: 4"
田   田,"田   田     rice paddy   デン、た den, ta    Strokes: 5"
土   土,"土   土     soil   ド、ト、つち do, to, tsuchi    Strokes: 3"
二   二,"二   二     two   ニ、ふた、ふた-つ ni, futa, futa-tsu    Strokes: 2"
日   日,"日   日     day   ニチ、ジツ、ひ、か nichi, jitsu, hi, ka    Strokes: 4"
入   入,"入   入     enter   ニュウ、い-る、い-れる、はい-る nyū, i-ru, i-reru, hai-ru    Strokes: 2"
年   干,"年   干     year   ネン、とし nen, toshi    Strokes: 6"
白   白,"白   白     white   ハク、ビャク、しろ、（しら）、しろ-い haku, byaku, shiro, (shira), shiro-i    Strokes: 5"
八   八,"八   八     eight   ハチ、や、や-つ、やっ-つ、（よう） hachi, ya, ya-tsu, ya'-tsu, (yō)    Strokes: 2"
百   白,百   白     hundred   ヒャク hyaku    Strokes: 6
文   文,"文   文     writing   ブン、モン、ふみ bun, mon, fumi    Strokes: 4"
木   木,"木   木     tree   ボク、モク、き、（こ） boku, moku, ki, (ko)    Strokes: 4"
本   木,"本   木     book   ホン、もと hon, moto    Strokes: 5"
名   口,"名   口     name   メイ、ミョウ、な mei, myō, na    Strokes: 6"
目   目,"目   目     eye   モク、（ボク）、め、（ま） moku, (boku), me, (ma)    Strokes: 5"
立   立,"立   立     stand up   リツ、（リュウ）、た-つ、た-てる ritsu, (ryū), ta-tsu, ta-teru    Strokes: 5"
力   力,"力   力     power   リョク、リキ、ちから ryoku, riki, chikara    Strokes: 2"
林   木,"林   木     woods   リン、はやし rin, hayashi    Strokes: 8"
六   八,"六   八     six   ロク、む、む-つ、むっ-つ、（むい） roku, mu, mu-tsu, mu'-tsu, (mui)    Strokes: 4"
引   弓,"引   弓     pull   イン、ひ-く、ひ-ける in, hi-ku, hi-keru    Strokes: 4"
羽   羽,"羽   羽     feather   ウ、は、はね u, ha, hane    Strokes: 6"
雲   雨,"雲   雨     cloud   ウン、くも un, kumo    Strokes: 12"
園   囗,"園   囗     garden   エン、その en, sono    Strokes: 13"
遠   辵,"遠   辵     far   エン、（オン）、とお-い en, (on), too-i    Strokes: 13"
何   人,"何   人     what   カ、なに、（なん） ka, nani, (nan)    Strokes: 7"
科   禾,科   禾     section   カ ka    Strokes: 9
夏   夊,"夏   夊     summer   カ、（ゲ）、なつ ka, (ge), natsu    Strokes: 10"
家   宀,"家   宀     house   カ、ケ、いえ、や ka, ke, ie, ya    Strokes: 10"
歌   欠,"歌   欠     song   カ、うた、うた-う ka, uta, uta-u    Strokes: 14"
画   田,"画   田     tableau   ガ、カク ga, kaku    Strokes: 8"
回   囗,"回   囗     times   カイ、（エ）、まわ-る、まわ-す kai, (e), mawa-ru, mawa-su    Strokes: 6"
会   曰,"会   曰     association   カイ、エ、あ-う kai, e, a-u    Strokes: 6"
海   水,"海   水     sea   カイ、うみ kai, umi    Strokes: 9"
絵   糸,"絵   糸     picture   カイ、エ kai, e    Strokes: 12"
外   夕,"外   夕     outside   ガイ、ゲ、そと、ほか、はず-す、はず-れる gai, ge, soto, hoka, hazu-su, hazu-reru    Strokes: 5"
角   角,"角   角     angle   カク、かど、つの kaku, kado, tsuno    Strokes: 7"
楽   木,"楽   木     pleasure   ガク、ラク、たの-しい、たの-しむ gaku, raku, tano-shii, tano-shimu    Strokes: 13"
活   水,活   水     active   カツ katsu    Strokes: 9
間   門,"間   門     interval   カン、ケン、あいだ、ま kan, ken, aida, ma    Strokes: 12"
丸   丶,"丸   丶     circle   ガン、まる、まる-い、まる-める gan, maru, maru-i, maru-meru    Strokes: 3"
岩   山,"岩   山     boulder   ガン、いわ gan, iwa    Strokes: 8"
顔   頁,"顔   頁     face   ガン、かお gan, kao    Strokes: 18"
汽   水,汽   水     steam   キ ki    Strokes: 7
記   言,"記   言     write down   キ、しる-す ki, shiru-su    Strokes: 10"
帰   止,"帰   止     return   キ、かえ-る、かえ-す ki, kae-ru, kae-su    Strokes: 10"
弓   弓,"弓   弓     bow (archery, violin)   キュウ、ゆみ kyū, yumi    Strokes: 3"
牛   牛,"牛   牛     cow   ギュウ、うし gyū, ushi    Strokes: 4"
魚   魚,"魚   魚     fish   ギョ、うお、さかな gyo, uo, sakana    Strokes: 11"
京   亠,"京   亠     capital   キョウ、ケイ kyō, kei    Strokes: 8"
強   弓,"強   弓     strong   キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる kyō, gō, tsuyo-i, tsuyo-maru, tsuyo-meru, shi-iru    Strokes: 11"
教   攴,"教   攴     teach   キョウ、おし-える、おそ-わる kyō, oshi-eru, oso-waru    Strokes: 11"
近   辵,"近   辵     near   キン、ちか-い kin, chika-i    Strokes: 7"
兄   儿,"兄   儿     older brother   ケイ、（キョウ）、あに kei, (kyō), ani    Strokes: 5"
形   彡,"形   彡     shape   ケイ、ギョウ、かた、かたち kei, gyō, kata, katachi    Strokes: 7"
計   言,"計   言     measure   ケイ、はか-る、はか-らう kei, haka-ru, haka-rau    Strokes: 9"
元   儿,"元   儿     origin   ゲン、ガン、もと gen, gan, moto    Strokes: 4"
言   言,"言   言     say   ゲン、ゴン、い-う、こと gen, gon, i-u, koto    Strokes: 7"
原   厂,"原   厂     field   ゲン、はら gen, hara    Strokes: 10"
戸   戶,"戸   戶     door   コ、と ko, to    Strokes: 4"
古   口,"古   口     old   コ、ふる-い、ふる-す ko, furu-i, furu-su    Strokes: 5"
午   十,午   十     noon   ゴ go    Strokes: 4
後   彳,"後   彳     behind   ゴ、コウ、のち、うし-ろ、あと、おく-れる go, kō, nochi, ushi-ro, ato, oku-reru    Strokes: 9"
語   言,"語   言     language   ゴ、かた-る、かた-らう go, kata-ru, kata-rau    Strokes: 14"
工   工,"工   工     craft   コウ、ク kō, ku    Strokes: 3"
公   八,"公   八     public   コウ、おおやけ kō, ooyake    Strokes: 4"
広   广,"広   广     wide   コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる kō, hiro-i, hiro-maru, hiro-meru, hiro-garu, hiro-geru    Strokes: 5"
